%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1406123641284790992,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641295104980,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641304960012,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641314852952,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641324937105,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641334572076,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641344418048,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641354481935,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641364552974,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641374576091,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641384458065,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641394939899,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641404881954,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641415028095,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641424552917,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641434659004,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641444797039,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641454741954,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641464680910,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641474688053,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641484814882,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641494975090,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641504980087,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641515090942,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641524871110,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641534548044,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641544496059,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641554538965,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641564627885,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641574754953,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641584539890,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641594846010,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641605082988,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641614742994,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641624900102,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641635211944,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641645081996,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641654567003,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641664661884,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641674962997,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641684575080,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641694622993,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641704785108,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641715079069,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641724713087,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641734545946,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641744601011,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641755093097,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641764589071,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641774607896,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641784519910,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641794929981,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641804790019,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641814711093,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641824724912,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641834878921,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123641844744920,0.0,0.0,0.0,1.0,1.0,19.7205200573
